customer_id,age,gender,region,tenure_months,monthly_charges,total_charges,contract,support_calls,satisfaction,signup_date,churn
CUST-000000,26,Male,South,7,51.45,387.28,Two year,5,4,2023-12-18,0
CUST-000001,65,Male,North,55,93.11,5543.37,Month-to-month,3,5,2023-08-29,0
CUST-000002,66,Female,South,47,70.87,3187.37,Month-to-month,2,3,2021-07-24,0
CUST-000003,59,Male,Central,32,62.93,1901.03,Month-to-month,2,4,2022-02-07,0
CUST-000004,79,Female,West,31,67.35,2056.89,Two year,0,3,2023-05-24,0
CUST-000005,18,Female,North,61,75.58,4567.34,Month-to-month,3,3,2022-11-06,0
CUST-000006,38,Female,East,7,85.42,538.82,Month-to-month,0,5,2021-11-29,0
CUST-000007,30,Male,Central,50,45.01,2376.19,Two year,4,5,2021-10-08,0
CUST-000008,56,Male,Central,15,43.96,724.9,Month-to-month,1,2,2023-02-20,0
CUST-000009,60,Female,West,7,97.62,687.26,Two year,4,5,2024-03-05,0
CUST-000010,78,Female,North,38,59.69,2217.53,Month-to-month,0,3,2022-08-02,0
CUST-000011,43,Male,South,70,34.58,2368.68,One year,3,4,2024-07-19,0
CUST-000012,33,Female,South,53,81.1,3951.06,Two year,1,3,2023-07-24,0
CUST-000013,79,Female,North,55,81.58,4277.06,Month-to-month,1,4,2022-07-19,0
CUST-000014,63,Female,North,51,31.73,1618.92,One year,3,5,2023-09-17,0
CUST-000015,69,Male,South,56,75.74,4183.63,Month-to-month,0,3,2022-09-21,0
CUST-000016,47,Female,East,37,88.39,3299.89,One year,5,4,2023-11-26,0
CUST-000017,47,Female,South,10,79.36,849.0,Two year,2,3,2024-10-07,1
CUST-000018,44,Female,East,60,85.8,4865.11,One year,1,4,2024-01-09,0
CUST-000019,68,Male,South,32,34.89,1011.01,Two year,2,1,2021-07-18,1
CUST-000020,32,Female,North,36,78.28,2557.82,One year,2,4,2021-04-11,0
CUST-000021,83,Male,Central,27,62.43,1562.28,One year,5,3,2024-02-07,1
CUST-000022,29,Female,East,13,57.93,763.71,Month-to-month,3,3,2024-04-01,0
CUST-000023,48,Male,South,66,91.76,6429.44,One year,1,2,2023-03-06,0
CUST-000024,39,Male,Central,56,106.98,6454.34,Two year,2,4,2021-12-09,0
CUST-000025,61,Male,Central,46,114.86,5426.34,One year,3,2,2024-05-18,0
CUST-000026,63,Male,Central,29,102.87,2925.44,Month-to-month,1,1,2022-09-20,1
CUST-000027,79,Male,North,59,67.26,3694.14,Month-to-month,1,5,2022-02-14,0
CUST-000028,70,Male,West,39,78.82,3013.37,One year,0,3,2022-05-28,0
CUST-000029,34,Female,Central,32,89.17,,Two year,1,1,2022-02-19,1
CUST-000030,31,Male,Central,32,73.03,2509.91,Month-to-month,0,2,2022-01-31,1
CUST-000031,77,Female,South,17,73.27,1242.28,Month-to-month,1,5,2022-04-02,0
CUST-000032,50,Male,Central,7,90.59,599.4,Month-to-month,2,2,2023-08-02,1
CUST-000033,24,Female,East,40,68.52,2625.03,Month-to-month,3,2,2021-01-24,0
CUST-000034,73,Male,East,64,51.77,3072.38,Two year,3,3,2022-05-24,0
CUST-000035,61,Female,East,5,59.64,323.16,Month-to-month,0,1,2021-08-26,1
CUST-000036,19,Male,West,61,85.85,4765.9,Month-to-month,2,3,2023-06-27,0
CUST-000037,70,Male,North,59,70.07,3731.34,Month-to-month,2,1,2024-10-24,0
CUST-000038,58,Female,East,20,78.51,1470.65,Month-to-month,0,5,2024-01-08,0
CUST-000039,59,Female,Central,45,86.75,4146.46,Two year,2,3,2021-12-15,0
CUST-000040,75,Male,East,12,60.63,730.97,Month-to-month,1,2,2022-12-20,0
CUST-000041,51,Female,South,54,88.91,4921.98,Month-to-month,1,3,2021-01-28,0
CUST-000042,48,Male,North,50,79.47,3860.44,Month-to-month,2,1,2022-08-02,1
CUST-000043,59,Male,East,26,39.13,929.62,Two year,2,2,2022-01-25,0
CUST-000044,31,Male,West,5,106.06,568.07,Two year,2,1,2022-12-04,0
CUST-000045,28,Female,East,69,57.48,3721.72,Month-to-month,0,4,2022-07-26,0
CUST-000046,74,Male,Central,32,28.62,830.31,One year,4,5,2023-08-14,0
CUST-000047,32,Male,West,64,43.87,2848.51,Month-to-month,3,3,2023-02-06,0
